id;title;author_id;description;instructor_id;level;language;duration;price;rating;rating_count;thumbnail;url;category_id;sub_category_id
fbdd8b44-6687-4a5f-8131-621c33b042ee;recontextualize navigate;Tasty;generating deposit systems;exuding Arizona Architect;reboot Harbors;Idaho;Bedfordshire override EXE;Steel Concrete Table;fresh-thinking;deposit;bandwidth Quality;https://alessandro.com;Kids Burundi;Stravenue invoice
a68b8153-8eab-4e4e-9a98-021520c4a63d;solution invoice;transmit back-end;U.S.;Danish Pants;application;programming leading-edge;Fantastic pink Soft;Virginia Silver Sleek;Plastic Cliff;functionalities withdrawal;Tennessee;http://scot.org;compressing e-business;Mouse Response
c2b4e509-9997-4067-b428-c6077e254e64;eco-centric adapter;Interactions attitude-oriented;Jan architect Vision-oriented;Quality;Product Metal;yellow salmon Cambridgeshire;Buckinghamshire functionalities ability;grid-enabled;Ouguiya Research;convergence RSS;support;http://emilio.com;Secured;Table portals
8b029acc-111a-4127-95b4-544bc3399b0b;hacking;Clothing Car;Automotive seamless Oregon;Mississippi withdrawal;Salad generate Human;Cheese Wooden invoice;Optimization deposit Mobility;RSS;Pants Senior;Parkway harness AI;Accountability neural wireless;https://anya.com;withdrawal Chicken invoice;Coordinator
87f3b11c-4a79-4393-b0fb-db2a8a90c0a8;blockchains;Ergonomic RSS;invoice solutions;District;invoice transmit;calculating;synthesize JBOD;back-end;Cotton;Diverse Infrastructure HTTP;Unbranded North;http://jovan.name;Run online;SMTP
dba1e773-5e70-4f9c-988a-1b2c5a8319ee;synthesizing;success yellow;Director heuristic core;Dynamic;hierarchy bandwidth;Bacon Buckinghamshire transmitting;Vermont Handcrafted;leverage Associate;Accounts Personal;Graphic revolutionize;Gloves Franc;http://camron.com;pink Marketing Hat;deliver Fantastic Card
afcc2541-de52-486a-8d95-65b84e426dc5;Tools Accountability;Ireland;Fresh;back Small payment;Identity Supervisor;strategize Brand;global vertical;hub Savings;Internal;Saudi navigating;Integrated Fully-configurable American;http://kody.com;compress Regional Borders;Buckinghamshire Investment
33cc1c0e-733f-4015-8dd6-8284f1986983;payment Rustic Chair;Leu Granite Computer;wireless Cliff;payment;Bulgaria Cloned;Savings;Synergistic SQL;Home Bike Account;Planner;Wyoming Steel bandwidth;Fresh;http://jan.com;dot-com system;Group District navigate
f6e82ed9-eb81-410a-b075-9732d6defafd;Programmable well-modulated;Cambridgeshire;Guinea;Versatile multimedia;withdrawal Programmable;Rubber;Mountain digital;Fantastic;Borders;Zimbabwe ivory;Optimization;http://nannie.com;Bahrain Buckinghamshire Plastic;transmitter red
61a66b51-835d-4ad7-ba46-d2d34d54dd3a;payment;Indiana;transform productize dynamic;Intuitive;whiteboard;Metrics driver;azure Wyoming;Sleek impactful Oklahoma;redefine Table Kids;Tennessee Sleek Green;Brooks card;https://flo.biz;Account;innovate
