id;title;description;course_id;text;video_url;video_id;video_duration;video_title;video_description;video_channel_language
cb57b076-5b9c-4c2c-8a47-cff9d30cb5dd;Soap;Parkways Islands Buckinghamshire;Center;FTP best-of-breed Handmade;Salad Group Frozen;Dirham Dakota SQL;overriding bypass;Usability exploit;Shoes Focused;Future
03ff363d-1364-40ff-80be-ca8017ce6897;integrated Awesome zero;Monaco program Georgia;deposit;state payment;Markets Intelligent Orchestrator;panel implement Account;SMS Tools;Motorway;Licensed Pine;cyan Metal proactive
60ba1769-996e-47d9-85a9-7ebb1feb4a52;connect Dynamic visualize;Global Bedfordshire copy;Forward parsing;Industrial plug-and-play;Accounts Handmade;Chicken Namibia Small;Electronics;Pants Kids discrete;Tasty;B2B
107b0a82-a29e-442b-901e-af68d7057dee;revolutionize;reintermediate Bacon;Cotton Markets;connect;e-business Wisconsin;real-time of;Shoes RAM;Computer;Soft;Coordinator
c1419f5c-a278-4799-ba11-a36de9ce15d7;models;Movies;transform;Checking open-source;Front-line Cotton;Reunion Bedfordshire;paradigms knowledge;SMS Fantastic Home;technologies;compressing
5fd70d57-faf0-476f-a72b-9b924ae50ff4;embrace olive;Licensed synthesizing;JBOD Jewelery;seamless;magenta enterprise end-to-end;Manat;Buckinghamshire open-source;Administrator Proactive New;Gloves Books;relationships back
01186691-2963-4434-ae42-bba6ab31a0cf;human-resource;Surinam Quality-focused;networks;Cambridgeshire;generation Facilitator;Web 24/7;Points markets payment;archive e-business Lead;haptic Gorgeous real-time;Concrete Games neural-net
c62d6f56-7157-46a1-9402-1ec8a1636259;Optional;Bypass Nevada grey;overriding;SDD system;ROI mobile;SMTP;Orchestrator;Kyat Brand indexing;Administrator;Avon Point
fbf9ed1c-a2f7-4be4-8b9c-f4932bd273ac;software Green;Account Ergonomic CSS;alarm Fish Books;Wooden cross-platform value-added;Keyboard Vermont withdrawal;card circuit;Card benchmark Executive;Pizza Bedfordshire;Liaison Principal Personal;Avon
742fac9b-bcbd-4f82-b5c0-d79f9b55f774;harness Infrastructure Orchestrator;Response;Bedfordshire transmitting;Visionary Corporate bypassing;driver;fault-tolerant;Buckinghamshire Interactions Kentucky;Soft;Fresh Handcrafted;Consultant Ergonomic Specialist
